id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2401768,Suite 905 @ Hennessy Road 1-3 Guest,1375696,C S,,Wan Chai,22.27681,114.17193,Private room,650,1,8,2015-10-08,0.15,14,180,0,
2413558,ROOM IN North Point,4584648,Ivy,,Eastern,22.28547,114.21686,Private room,180,30,0,,,384,365,0,
2432234,Happy Valley garden apartment -50m from Sanitorium,4286023,Jeff,,Wan Chai,22.27057,114.1831,Entire home/apt,1800,1,0,,,1,173,0,
2442588,20% off Penthouse Cozy large bed (5min to subway),24426458,Teresa,,Central & Western,22.28744,114.14402,Entire home/apt,1788,7,36,2019-05-20,0.77,2,365,0,
2458782,Cozy Double Rm 4 next to Jordan MTR,4048151,Stephen,,Yau Tsim Mong,22.30592,114.17191,Private room,354,1,59,2017-12-26,0.79,5,365,0,
2472517,2 BR Apt w/ Abundant Daylight.,12326516,Ck,,Yau Tsim Mong,22.31338,114.1677,Entire home/apt,828,1,326,2020-11-01,3.74,1,346,14,
2524352,yau ma tei 3 beds,2767559,Mark,,Yau Tsim Mong,22.3131,114.17163,Entire home/apt,3266,1,0,,,14,365,0,
2527002,Flat Share in Sham Shui Po,4584648,Ivy,,Wong Tai Sin,22.33856,114.21525,Private room,180,30,1,2015-11-05,0.01,384,365,0,
2532565,銅鑼灣羅馬假日賓館,12970634,Sandy,,Wan Chai,22.27757,114.18403,Private room,250,30,13,2014-08-25,0.15,2,180,0,
2551147,Very Nice Room ... WanChai,4584648,Ivy,,Wan Chai,22.27798,114.18068,Private room,180,30,0,,,384,365,0,
2566050,1BR for 2ppl 3mins to MongKok MTR,12404807,Melody InHK,,Yau Tsim Mong,22.31831,114.16962,Entire home/apt,283,1,201,2020-01-14,2.33,4,265,4,
2601487,Nice Causeway bay studio,4584648,Ivy,,Wan Chai,22.27822,114.18253,Private room,217,30,0,,,384,365,0,
2602519,D:2BR for 6ppl 3mins to MongKok MTR,12404807,Melody InHK,,Yau Tsim Mong,22.31661,114.17143,Entire home/apt,450,1,278,2021-04-15,3.03,4,327,7,
